Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2025-05-09T16:39:32+0300,Trade,Sell to Close,SELL_TO_CLOSE,SPY   250516P00500000,Equity Option,Sold 1 SPY 05/16/25 Put 500.00 @ 0.13,13.00,1,13.00,0.00,-0.14,100,SPY,SPY,5/16/25,500.0,PUT,383074623,12.86,USD
2025-05-07T16:30:00+0300,Trade,Sell to Close,SELL_TO_CLOSE,NBIS  270115C00030000,Equity Option,Sold 1 NBIS 01/15/27 Call 30.00 @ 11.03,"1,103.00",1,"1,103.00",0.00,-0.17,100,NBIS,NBIS,1/15/27,30.0,CALL,382026859,"1,102.83",USD
2025-05-07T16:30:00+0300,Trade,Buy to Close,BUY_TO_CLOSE,NBIS  270115C00040000,Equity Option,Bought 1 NBIS 01/15/27 Call 40.00 @ 8.58,-858.00,1,-858.00,0.00,-0.13,100,NBIS,NBIS,1/15/27,40.0,CALL,382026859,-858.13,USD
2025-05-06T18:28:19+0300,Trade,Sell to Close,SELL_TO_CLOSE,AES,Equity,Sold 5 AES @ 10.51,52.55,5,10.51,0.00,-0.01,,,,,,,382314682,52.53,USD
2025-05-03T22:51:13+0300,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.07,0,,--,0.00,,,,,,,,-0.07,USD
2025-05-02T18:20:01+0300,Trade,Sell to Open,SELL_TO_OPEN,SLV   250516C00031500,Equity Option,Sold 1 SLV 05/16/25 Call 31.50 @ 0.08,8.00,1,8.00,-1.00,-0.14,100,SLV,SLV,5/16/25,31.5,CALL,381909112,6.86,USD
2025-05-02T18:20:01+0300,Trade,Buy to Open,BUY_TO_OPEN,SLV   250516C00028500,Equity Option,Bought 1 SLV 05/16/25 Call 28.50 @ 1.04,-104.00,1,-104.00,-1.00,-0.13,100,SLV,SLV,5/16/25,28.5,CALL,381909112,-105.13,USD
2025-05-02T17:03:07+0300,Trade,Buy to Close,BUY_TO_CLOSE,PLTR  250516C00175000,Equity Option,Bought 1 PLTR 05/16/25 Call 175.00 @ 0.59,-59.00,1,-59.00,0.00,-0.13,100,PLTR,PLTR,5/16/25,175.0,CALL,381826637,-59.13,USD
2025-05-02T17:03:07+0300,Trade,Sell to Close,SELL_TO_CLOSE,PLTR  250516C00150000,Equity Option,Sold 1 PLTR 05/16/25 Call 150.00 @ 2.26,226.00,1,226.00,0.00,-0.14,100,PLTR,PLTR,5/16/25,150.0,CALL,381826637,225.86,USD
2025-05-02T16:55:59+0300,Trade,Sell to Open,SELL_TO_OPEN,SPY   250718P00555000,Equity Option,Sold 1 SPY 07/18/25 Put 555.00 @ 16.64,"1,664.00",1,"1,664.00",-1.00,-0.18,100,SPY,SPY,7/18/25,555.0,PUT,381851250,"1,662.82",USD
2025-05-02T16:55:59+0300,Trade,Buy to Open,BUY_TO_OPEN,SPY   250718P00560000,Equity Option,Bought 1 SPY 07/18/25 Put 560.00 @ 18.29,"-1,829.00",1,"-1,829.00",-1.00,-0.13,100,SPY,SPY,7/18/25,560.0,PUT,381851250,"-1,830.13",USD
2025-05-01T17:07:40+0300,Trade,Buy to Open,BUY_TO_OPEN,JPST,Equity,Bought 5 JPST @ 50.47,-252.35,5,-50.47,0.00,0.00,,,,,,,381576304,-252.35,USD
